# Program:featureCounts v2.0.6; Command:"featureCounts" "-O" "-t" "gene" "-g" "gene_name" "-a" "gencode.v41.annotation.gtf" "-o" "counts.txt" "./SRR5223500_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223505_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223522_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223543_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223547_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223570_2.fastq_mappedAligned.sortedByCoord.out.bam" "-T" "20" "-p" 
Geneid	Chr	Start	End	Strand	Length	./SRR5223500_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223505_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223522_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223543_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223547_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223570_2.fastq_mappedAligned.sortedByCoord.out.bam
SNORD96A	chr5	181241814	181241892	-	79	48	30	18	34	30	7
SNORD95	chr5	181243312	181243379	-	68	22	23	0	9	19	0
CTC-338M12.4	chr5	181246466	181272167	+	25702	2249	1469	1520	1344	873	302
TRIM52	chr5	181254077	181261150	-	7074	1793	1092	1126	1104	631	198
TRIM52-AS1	chr5	181261169	181272307	+	11139	282	278	288	163	175	76
ENSG00000286310	chr5	181276848	181277555	+	708	4	0	0	0	0	0
ENSG00000248103	chr5	181281375	181283652	+	2278	2	2	0	3	0	2
ENSG00000274525	chr5	181291673	181295572	+	3900	9	6	2	2	2	0
RNU6-705P	chr5	181301967	181302070	+	104	0	0	0	0	0	0
ENSG00000238035	chr5	181306502	181324685	+	18184	16	15	22	6	3	0
CICP15	chr5	181329049	181331839	-	2791	0	0	0	0	0	0
SEPTIN14P5	chr5	181329241	181342213	+	12973	0	0	0	0	0	0
OR4F3	chr5	181367268	181368262	+	995	0	0	0	0	0	0
WBP1LP4	chr5	181378695	181379038	-	344	0	0	0	0	0	0
RPL23AP45	chr5	181471963	181472430	+	468	0	0	0	0	0	0
WBP1LP12	chr6	95124	95454	+	331	0	0	0	0	0	0
OR4F1P	chr6	105919	106856	-	938	0	0	0	0	0	0
SEPTIN14P6	chr6	131910	145083	-	13174	4	0	0	1	0	0
ENSG00000218577	chr6	167607	170631	-	3025	0	0	0	0	0	0
ENSG00000263667	chr6	176645	205519	-	28875	21	81	4	18	108	12
ENSG00000285578	chr6	184339	186899	+	2561	7	29	2	10	44	8
ENSG00000205653	chr6	203313	206392	+	3080	0	0	0	0	0	0
ENSG00000287265	chr6	285443	292013	-	6571	182	88	68	80	57	7
DUSP22	chr6	291630	351355	+	59726	1608	1447	942	763	1121	285
IRF4	chr6	391739	411443	+	19705	23470	57360	17359	30438	70570	12493
ENSG00000286364	chr6	453391	477829	+	24439	30	22	6	6	18	8
EXOC2	chr6	485154	693139	-	207986	4483	3989	3018	3616	4420	1008
ENSG00000230433	chr6	524171	525581	+	1411	12	4	4	5	4	0
HUS1B	chr6	655939	657100	-	1162	8	5	2	4	6	2
ENSG00000219712	chr6	669081	670307	-	1227	1	0	0	0	7	0
ENSG00000271727	chr6	692530	796781	+	104252	333	225	156	169	161	34
ENSG00000272463	chr6	708592	711460	-	2869	163	90	70	98	90	6
ENSG00000287293	chr6	729128	760936	-	31809	21	7	18	4	8	2
ENSG00000271911	chr6	761675	780648	+	18974	43	6	20	14	14	0
ENSG00000272485	chr6	774747	780214	-	5468	5	4	4	4	0	0
ENSG00000276687	chr6	905445	909006	-	3562	0	0	0	0	0	0
LINC01622	chr6	958323	1101400	-	143078	1	0	2	0	0	0
ENSG00000270937	chr6	1026494	1027225	-	732	0	0	0	0	0	0
ENSG00000176515	chr6	1079929	1104946	+	25018	0	0	2	0	0	0
ENSG00000286324	chr6	1111367	1129110	+	17744	0	0	0	0	0	0
ENSG00000289842	chr6	1152608	1228608	-	76001	0	0	0	0	0	0
FOXQ1	chr6	1312098	1314758	+	2661	0	0	0	0	0	0
LINC01394	chr6	1321698	1324022	-	2325	0	0	0	0	0	0
FOXF2-DT	chr6	1383790	1385066	-	1277	0	0	0	0	0	0
FOXF2	chr6	1389576	1395603	+	6028	0	0	0	0	0	0
MIR6720	chr6	1390314	1390411	-	98	0	0	0	0	0	0
RN7SL352P	chr6	1507322	1507598	+	277	0	0	0	0	0	0
ENSG00000218027	chr6	1513698	1515289	-	1592	2	2	0	0	0	0
ENSG00000272279	chr6	1528364	1528911	-	548	4	6	0	1	5	0
FOXCUT	chr6	1601654	1607354	+	5701	0	0	0	2	0	0
FOXC1	chr6	1609915	1613897	+	3983	2	0	0	0	0	0
GMDS	chr6	1623806	2245605	-	621800	1140	888	752	722	972	280
ENSG00000285603	chr6	2227803	2230261	+	2459	2	0	0	0	2	0
GMDS-DT	chr6	2245718	2525976	+	280259	812	314	502	298	232	56
HMGN2P28	chr6	2341450	2341711	+	262	2	0	0	0	2	0
ENSG00000286512	chr6	2353427	2386110	-	32684	82	27	42	36	32	4
ENSG00000272465	chr6	2437549	2438249	+	701	2	2	0	0	2	0
ENSG00000287903	chr6	2503797	2528665	-	24869	2	0	0	0	4	0
ENSG00000280423	chr6	2561947	2564143	+	2197	0	0	0	0	0	0
LINC02521	chr6	2617144	2640001	+	22858	2	2	0	4	6	0
LINC01600	chr6	2621911	2634622	-	12712	2	2	0	4	6	0
MYLK4	chr6	2663629	2770330	-	106702	771	700	662	483	544	145
WRNIP1	chr6	2765393	2786952	+	21560	3301	2292	2081	1960	1878	540
SERPINB1	chr6	2832332	2841959	-	9628	2083	1691	1357	1282	819	298
SERPINB9P1	chr6	2851230	2881407	-	30178	356	106	158	44	32	8
MIR4645	chr6	2854031	2854107	-	77	2	1	8	0	0	0
SERPINB9	chr6	2887270	2903309	-	16040	4419	2408	2757	1572	602	248
ENSG00000232999	chr6	2910613	2912113	-	1501	0	0	0	0	0	0
ENSG00000228365	chr6	2916894	2917733	+	840	0	0	0	0	0	0
SERPINB6	chr6	2948159	2972165	-	24007	1880	870	814	1137	565	116
LINC01011	chr6	2987967	2991173	+	3207	83	22	58	44	10	0
NQO2	chr6	2987987	3019755	+	31769	638	612	451	350	467	127
NQO2-AS1	chr6	2989335	2999604	-	10270	91	24	68	48	10	0
HTATSF1P2	chr6	3023142	3023772	-	631	24	5	55	51	97	32
ENSG00000288612	chr6	3023472	3027426	+	3955	34	28	77	46	93	37
ENSG00000274855	chr6	3033183	3033288	+	106	0	0	0	0	0	0
FAM136BP	chr6	3045384	3045800	+	417	0	2	0	0	0	0
SERPINB8P1	chr6	3048835	3049211	+	377	0	0	0	0	0	0
ENSG00000229282	chr6	3055849	3057357	+	1509	0	0	0	0	0	0
RIPK1	chr6	3063824	3115187	+	51364	3544	2510	2679	2107	1824	520
ENSG00000272277	chr6	3068045	3068894	-	850	22	31	2	7	0	3
RNA5SP201	chr6	3088686	3088809	-	124	1	1	6	4	0	0
BPHL	chr6	3118374	3153578	+	35205	292	156	208	190	102	54
ENSG00000228170	chr6	3138394	3153062	-	14669	184	75	152	95	61	37
TUBB2A	chr6	3153497	3157544	-	4048	23	29	33	37	50	26
TUBB2BP1	chr6	3177044	3179764	-	2721	0	0	0	0	0	0
LINC02525	chr6	3182626	3195784	-	13159	0	0	0	0	0	0
TUBB2B	chr6	3223324	3231730	-	8407	1	3	4	9	4	0
ENSG00000288840	chr6	3228771	3230709	+	1939	0	0	0	0	0	0
PSMG4	chr6	3231403	3303373	+	71971	1836	921	1222	879	708	194
SLC22A23	chr6	3268962	3457050	-	188089	1747	530	1090	685	337	96
ENSG00000272320	chr6	3311662	3313650	+	1989	47	4	40	20	4	0
ENSG00000228793	chr6	3585101	3720081	-	134981	22	0	8	2	0	0
ENSG00000270477	chr6	3693923	3694075	-	153	0	0	0	0	0	0
PXDC1	chr6	3722614	3751713	-	29100	2	4	0	2	6	2
ENSG00000270504	chr6	3751111	3753871	+	2761	0	0	0	0	0	0
ENSG00000219992	chr6	3754099	3754840	+	742	0	0	0	0	0	0
ENSG00000238158	chr6	3831933	3855737	+	23805	390	366	194	304	310	38
ENSG00000233068	chr6	3831936	3894292	+	62357	392	367	198	304	310	38
FAM50B	chr6	3849373	3851320	+	1948	388	366	194	300	310	38
ENSG00000260604	chr6	3904920	3912072	-	7153	0	4	4	0	0	0
ENSG00000218472	chr6	3913922	3914292	-	371	0	0	0	4	0	0
ENSG00000217135	chr6	3921847	3922146	+	300	0	0	0	0	0	0
TDGF1P4	chr6	3941282	3941801	+	520	0	0	0	0	0	0
GLRX3P2	chr6	3978062	3979099	+	1038	4	4	2	2	0	0
ENSG00000279926	chr6	3982673	3984130	+	1458	20	0	12	6	3	0
ENSG00000288904	chr6	4017266	4018772	-	1507	15	10	7	2	6	4
ENSG00000272248	chr6	4018713	4019202	+	490	0	0	2	0	2	0
ENSG00000230648	chr6	4018843	4021215	-	2373	6	0	2	0	0	0
PRPF4B	chr6	4021267	4064983	+	43717	6445	4636	4625	4067	4636	1200
FAM217A	chr6	4049434	4087344	-	37911	3583	2467	2388	2166	2237	485
C6orf201	chr6	4079209	4130951	+	51743	1625	788	1035	1026	619	160
ECI2	chr6	4115693	4135597	-	19905	1829	889	1230	1158	705	177
ENSG00000254821	chr6	4135423	4146053	+	10631	89	35	33	62	26	3
ECI2-DT	chr6	4136072	4157385	+	21314	9	10	4	4	4	0
ENSG00000237716	chr6	4185479	4188950	-	3472	0	0	0	0	0	0
ENSG00000216307	chr6	4189116	4189806	+	691	0	2	0	0	0	0
ENSG00000285424	chr6	4304942	4583871	-	278930	0	0	0	2	0	0
ENSG00000231811	chr6	4341751	4347162	-	5412	0	0	0	0	0	0
ENSG00000287761	chr6	4381211	4383597	+	2387	0	0	0	0	0	0
RNA5SP202	chr6	4427963	4428081	+	119	0	0	0	0	0	0
ENSG00000285694	chr6	4449392	4468181	+	18790	0	0	0	0	0	0
LINC02533	chr6	4488798	4495769	+	6972	0	0	0	1	0	0
ENSG00000270695	chr6	4529722	4530008	+	287	0	0	0	0	0	0
ENSG00000260673	chr6	4599287	4602420	-	3134	0	0	0	0	0	0
KU-MEL-3	chr6	4610539	4611919	+	1381	0	0	0	0	0	0
PSMC1P11	chr6	4702463	4703779	+	1317	0	0	2	0	2	0
CDYL	chr6	4706159	4955551	+	249393	1484	910	993	918	750	184
ENSG00000284823	chr6	4714098	4724885	-	10788	1	0	0	0	0	0
CDYL-AS1	chr6	4774526	4775408	-	883	0	0	0	0	0	0
ENSG00000217030	chr6	4979072	4979494	+	423	0	0	0	0	0	0
RPP40	chr6	4994717	5004063	-	9347	274	241	138	183	262	64
LYRM4-AS1	chr6	5003774	5045666	+	41893	229	169	98	89	119	15
ENSG00000271978	chr6	5031756	5054423	-	22668	194	126	108	84	109	18
ENSG00000220685	chr6	5065795	5066982	-	1188	4	2	4	6	0	0
ENSG00000288548	chr6	5072601	5080946	+	8346	35	23	36	28	10	2
PPP1R3G	chr6	5085341	5089487	+	4147	9	0	0	2	2	0
LYRM4	chr6	5103629	5260950	-	157322	1310	1158	1088	1059	1063	334
MIR3691	chr6	5148233	5148322	-	90	0	0	0	0	0	0
FARS2	chr6	5261044	5829192	+	568149	1034	608	511	536	749	136
ENSG00000220446	chr6	5291030	5291388	-	359	0	0	0	0	0	0
FARS2-AS1	chr6	5451683	5458075	-	6393	12	4	4	0	0	0
HNRNPA1P37	chr6	5609227	5610195	-	969	0	0	2	0	0	0
ENSG00000270174	chr6	5664985	5695272	-	30288	76	3	34	21	14	8
ENSG00000217239	chr6	5788346	5788699	-	354	2	4	4	4	4	0
ENSG00000216360	chr6	5817421	5818366	-	946	6	0	0	0	2	2
ENSG00000233064	chr6	5851506	5870220	+	18715	16	6	16	18	10	0
RN7SL221P	chr6	5918564	5918844	-	281	0	0	0	0	0	0
PKMP5	chr6	5972412	5974012	+	1601	4	4	4	2	4	0
NRN1	chr6	5997999	6007605	-	9607	13	2	8	0	6	0
F13A1	chr6	6144084	6321013	-	176930	3	0	1	0	1	0
MIR7853	chr6	6169304	6169435	-	132	0	0	0	0	0	0
MIR5683	chr6	6169334	6169409	+	76	0	0	0	0	0	0
LY86-AS1	chr6	6346465	6622771	-	276307	72	20	24	17	32	13
SNAPC5P1	chr6	6347081	6347381	-	301	0	0	0	0	0	0
ENSG00000285717	chr6	6450356	6507443	+	57088	0	0	0	2	0	0
CNN3P1	chr6	6534697	6535631	+	935	0	0	0	0	0	0
LY86	chr6	6588108	6654983	+	66876	128	83	92	50	50	18
ENSG00000261211	chr6	6680309	6686948	-	6640	0	0	0	0	0	0
ENSG00000279368	chr6	6685148	6686984	+	1837	0	0	0	0	0	0
ENSG00000226281	chr6	6692741	6801186	-	108446	2	0	4	5	4	0
ENSG00000287497	chr6	6710477	6713976	+	3500	0	0	0	0	0	0
ENSG00000288046	chr6	6725036	6733191	+	8156	0	0	2	0	0	0
ENSG00000224532	chr6	6758276	6759291	-	1016	0	0	0	0	0	0
BTF3P7	chr6	6794915	6795402	-	488	0	0	2	4	4	0
ENSG00000288860	chr6	6885713	6887257	+	1545	0	0	0	0	0	0
ENSG00000223342	chr6	6901022	6918715	-	17694	0	0	0	0	0	0
RN7SL554P	chr6	6938606	6938897	-	292	0	0	0	0	0	0
ENSG00000203498	chr6	6993191	6995727	+	2537	0	0	0	0	0	0
RREB1	chr6	7107597	7251980	+	144384	1982	1145	1190	1214	902	192
ENSG00000225092	chr6	7183083	7185287	+	2205	4	0	0	0	4	0
ENSG00000287002	chr6	7232556	7232678	+	123	0	0	0	0	1	0
ENSG00000285771	chr6	7258910	7261993	-	3084	0	0	0	0	0	0
SSR1	chr6	7268306	7347446	-	79141	8438	6744	5364	5766	6275	1340
ENSG00000238221	chr6	7276031	7298872	+	22842	6499	4994	4061	4540	4925	982
CAGE1	chr6	7326656	7389742	-	63087	119	141	266	154	83	40
ENSG00000219375	chr6	7331286	7331676	-	391	1	0	0	0	0	0
ENSG00000220472	chr6	7338839	7339568	-	730	104	129	266	142	76	39
ENSG00000230570	chr6	7340854	7342056	-	1203	0	0	0	0	0	0
RIOK1	chr6	7389793	7418037	+	28245	2268	2923	1538	1701	2425	656
HNRNPLP1	chr6	7481094	7482594	-	1501	2	2	2	2	0	0
ENSG00000219993	chr6	7506203	7506549	+	347	0	0	0	0	0	0
ENSG00000234115	chr6	7516600	7517840	-	1241	0	0	0	0	0	0
DSP-AS1	chr6	7540447	7543114	-	2668	0	0	0	0	0	0
DSP	chr6	7541617	7586714	+	45098	0	0	0	0	2	2
SNRNP48	chr6	7590198	7611967	+	21770	1769	1129	1129	1040	917	206
ENSG00000236512	chr6	7620422	7620878	+	457	1	2	0	3	0	0
BMP6	chr6	7726099	7881728	+	155630	152	176	127	142	256	58
TXNDC5	chr6	7881517	7910788	-	29272	1926	2778	1584	1922	3606	702
BLOC1S5-TXNDC5	chr6	7881522	8064364	-	182843	3960	4071	2778	3418	4890	904
ENSG00000217746	chr6	7938430	7939322	-	893	0	0	0	0	0	0
PIP5K1P1	chr6	7986537	7988192	+	1656	2	0	0	2	0	0
BLOC1S5	chr6	8013567	8064396	-	50830	1703	1134	985	1260	1112	182
EEF1E1-BLOC1S5	chr6	8015726	8102530	-	86805	2085	1863	1434	1508	2011	387
EEF1E1	chr6	8073360	8102559	-	29200	1555	1519	1100	1190	1764	321
ENSG00000232234	chr6	8102711	8343139	+	240429	0	0	4	0	2	0
ENSG00000285216	chr6	8158162	8760447	+	602286	1415	724	888	823	674	188
ENSG00000234763	chr6	8341937	8389183	-	47247	0	2	0	4	0	0
SLC35B3	chr6	8411435	8435561	-	24127	1258	662	804	728	606	182
HULC	chr6	8435568	9294133	+	858566	181	60	100	94	64	8
ENSG00000276019	chr6	8653558	8653797	+	240	0	0	0	0	0	0
ENSG00000225775	chr6	9124221	9161777	-	37557	0	0	0	0	0	0
OFCC1	chr6	9596110	10211608	-	615499	2	2	6	11	6	0
RPL7AP36	chr6	10118452	10119253	+	802	0	0	0	5	0	0
ENSG00000229765	chr6	10213881	10214362	-	482	37	15	17	15	7	1
RNU6ATAC21P	chr6	10222036	10222161	+	126	0	0	0	0	0	0
ENSG00000216781	chr6	10365593	10366582	-	990	0	2	0	0	0	0
TFAP2A	chr6	10393186	10419659	-	26474	8	2	0	4	2	0
TFAP2A-AS2	chr6	10404502	10407928	+	3427	4	2	0	2	0	0
TFAP2A-AS1	chr6	10409340	10416446	+	7107	2	0	0	2	0	0
ENSG00000228478	chr6	10423140	10426176	-	3037	0	0	0	0	0	0
ENSG00000285759	chr6	10426623	10429110	+	2488	0	0	0	0	0	0
LINC00518	chr6	10429255	10435015	-	5761	0	0	0	0	0	0
MIR5689HG	chr6	10434316	10456781	+	22466	0	0	0	0	0	0
MIR5689	chr6	10439717	10439794	+	78	0	0	0	0	0	0
MRPL48P1	chr6	10459906	10460541	-	636	0	0	0	0	0	0
LINC02522	chr6	10474500	10478502	-	4003	0	0	0	1	0	0
GCNT2	chr6	10492223	10629368	+	137146	251	86	103	91	52	14
ENSG00000237685	chr6	10511036	10514546	-	3511	0	0	0	0	0	0
ENSG00000216359	chr6	10514282	10514973	+	692	0	0	0	0	0	0
ENSG00000217181	chr6	10574749	10575227	-	479	9	11	13	1	5	1
GCNT2P1	chr6	10633762	10634695	+	934	0	0	0	2	0	0
ENSG00000285763	chr6	10659498	10692860	+	33363	52	22	24	23	16	5
C6orf52	chr6	10671418	10694797	-	23380	66	28	26	29	30	6
PAK1IP1	chr6	10694972	10709782	+	14811	1464	1380	800	1015	1673	358
TMEM14C	chr6	10722915	10731129	+	8215	1191	946	618	755	860	206
TMEM14B-DT	chr6	10743324	10747663	-	4340	30	8	6	18	10	2
TMEM14B	chr6	10747759	10852753	+	104995	2134	1644	1186	1383	1615	340
ENSG00000272162	chr6	10747794	10930423	+	182630	2157	1650	1212	1401	1622	340
RNA5SP203	chr6	10752791	10752926	-	136	1	1	0	0	1	0
MAK	chr6	10762723	10838553	-	75831	619	233	411	264	177	53
GCM2	chr6	10873223	10882041	-	8819	1	0	0	0	0	0
ENSG00000235051	chr6	10881780	10884349	+	2570	2	0	0	2	0	0
SYCP2L	chr6	10886831	10979320	+	92490	6	3	2	5	0	0
ELOVL2	chr6	10980759	11044305	-	63547	2	0	1	3	0	0
ENSG00000274541	chr6	11015586	11015888	+	303	0	0	0	0	0	0
ELOVL2-AS1	chr6	11043482	11079154	+	35673	0	0	0	0	0	0
SMIM13	chr6	11093834	11138733	+	44900	902	870	475	645	874	158
ERVFRD-1	chr6	11102489	11111725	-	9237	10	0	0	2	4	0
ENSG00000271245	chr6	11154929	11155150	-	222	0	0	2	0	0	0
ENSG00000247925	chr6	11173452	11259099	+	85648	1368	1295	996	1178	989	220
NEDD9	chr6	11183298	11382348	-	199051	2185	1808	1504	1704	1439	304
ENSG00000287920	chr6	11291299	11296224	+	4926	31	18	50	12	33	4
ENSG00000290062	chr6	11350601	11353728	+	3128	139	132	52	113	139	12
ENSG00000242753	chr6	11414636	11515710	+	101075	0	0	0	0	0	0
ENSG00000233656	chr6	11417207	11481324	+	64118	0	0	0	0	0	0
RNU1-64P	chr6	11503509	11503671	-	163	0	0	0	0	0	0
THAP12P5	chr6	11514192	11516466	+	2275	0	0	0	0	0	0
TMEM170B	chr6	11537749	11583524	+	45776	1014	604	736	786	774	162
ENSG00000271897	chr6	11607552	11607981	+	430	0	0	0	0	0	0
ENSG00000207419	chr6	11709819	11709960	+	142	2	0	0	2	0	0
ADTRP	chr6	11712054	11807046	-	94993	1604	2132	1549	1964	2864	549
ENSG00000287593	chr6	11722547	11731923	+	9377	491	644	346	533	771	135
ENSG00000234427	chr6	11810602	11811248	+	647	0	0	0	0	2	0
AMD1P4	chr6	11861626	11862970	-	1345	0	0	0	0	0	0
ENSG00000225102	chr6	11990338	12001286	-	10949	0	0	0	0	0	0
ENSG00000229896	chr6	12007670	12008856	+	1187	15	11	2	5	2	4
HIVEP1	chr6	12008762	12164999	+	156238	4340	2513	3532	2728	2444	598
EDN1	chr6	12290361	12297194	+	6834	30	10	16	2	8	2
SUMO2P12	chr6	12319453	12319592	+	140	0	0	0	0	0	0
RN7SKP293	chr6	12406486	12406781	-	296	0	0	0	0	0	0
RPL15P3	chr6	12514110	12514724	+	615	235	303	152	321	220	88
LINC02530	chr6	12582915	12585404	-	2490	0	0	0	0	0	0
PHACTR1	chr6	12716312	13290446	+	574135	171	77	132	66	44	16
RNU1-11P	chr6	13214056	13214219	+	164	0	0	0	0	0	0
ENSG00000215022	chr6	13264861	13295586	-	30726	237	119	184	116	102	34
TBC1D7	chr6	13266542	13328583	-	62042	602	363	516	326	326	108
ENSG00000272379	chr6	13290018	13290490	-	473	13	0	8	8	6	2
ENSG00000289257	chr6	13328574	13329881	+	1308	0	0	0	0	0	0
GFOD1	chr6	13357830	13487662	-	129833	427	743	229	802	1070	164
GFOD1-AS1	chr6	13486294	13486852	+	559	6	27	8	20	36	5
RPS4XP7	chr6	13521266	13522045	+	780	0	0	4	5	0	0
RN7SKP204	chr6	13547704	13548013	+	310	0	0	0	0	0	0
SIRT5	chr6	13574227	13615158	+	40932	950	500	584	604	506	132
ENSG00000261071	chr6	13614101	13615190	-	1090	13	16	20	16	15	3
NOL7	chr6	13615335	13632739	+	17405	3733	4115	2257	2913	5349	876
RANBP9	chr6	13621498	13711835	-	90338	3144	3695	2312	2270	5068	920
ENSG00000286316	chr6	13671720	13678908	+	7189	4	0	0	0	0	2
MCUR1	chr6	13786557	13814568	-	28012	1294	1382	924	1073	1544	354
ENSG00000272209	chr6	13825432	13826574	+	1143	2	0	6	0	0	0
RNF182	chr6	13924446	13980310	+	55865	0	0	1	0	0	0
MRPL35P1	chr6	13949095	13949666	+	572	0	0	0	0	0	0
ENSG00000233981	chr6	14004920	14006901	+	1982	0	0	0	0	0	0
CD83	chr6	14117256	14136918	+	19663	1728	1869	846	618	977	344
ENSG00000285639	chr6	14152196	14211186	-	58991	38	4	38	2	2	2
RNU7-133P	chr6	14156462	14156523	+	62	0	0	0	0	0	0
ENSG00000286281	chr6	14210293	14214374	+	4082	14	6	2	0	12	6
ENSG00000230631	chr6	14229775	14231570	-	1796	0	0	0	0	0	0
LINC01108	chr6	14280127	14285454	-	5328	2	1	0	0	0	0
ENSG00000237346	chr6	14391094	14393929	-	2836	0	2	0	0	0	3
ENSG00000234540	chr6	14394326	14404289	+	9964	0	0	0	0	0	2
ENSG00000286277	chr6	14431683	14502701	+	71019	35	36	18	2	66	23
ENSG00000229646	chr6	14597514	14599690	-	2177	0	6	0	0	5	9
ENSG00000289958	chr6	14616040	14656819	-	40780	2	45	0	0	71	19
RNU6-793P	chr6	14646535	14646638	+	104	0	0	0	0	0	0
ENSG00000234261	chr6	14660285	15090170	-	429886	30	8	19	3	3	0
RPL6P17	chr6	15102946	15104130	-	1185	0	0	0	0	0	0
RN7SL332P	chr6	15112968	15113221	+	254	0	0	0	0	0	0
JARID2-DT	chr6	15243923	15245000	-	1078	14	0	6	6	8	0
JARID2	chr6	15246069	15522042	+	275974	3320	2232	1825	1850	1420	346
JARID2-AS1	chr6	15247815	15248634	-	820	0	2	2	0	2	0
RNU6-522P	chr6	15314920	15315026	+	107	0	0	2	0	0	0
RNU6-645P	chr6	15324367	15324472	-	106	0	0	0	0	0	0
DTNBP1	chr6	15522807	15663058	-	140252	885	836	624	584	616	152
ENSG00000287626	chr6	15555780	15559980	+	4201	11	0	16	0	2	2
ENSG00000289953	chr6	15804645	15860930	+	56286	2	0	0	0	0	0
ARPC3P5	chr6	15934782	15935315	+	534	3	0	2	2	2	2
LINC02543	chr6	15994944	15999797	+	4854	0	0	0	0	0	0
ENSG00000274212	chr6	16041381	16041614	-	234	0	0	0	0	0	0
MDH1P2	chr6	16107622	16108593	+	972	0	0	0	0	0	0
MYLIP	chr6	16129086	16148248	+	19163	360	224	174	200	119	42
MIR4639	chr6	16141556	16141624	+	69	0	0	0	1	0	0
ENSG00000218073	chr6	16160926	16161411	+	486	1	6	0	0	0	0
ENSG00000217078	chr6	16163377	16163762	-	386	0	0	0	0	0	0
MRPL42P2	chr6	16171606	16172031	+	426	1	0	0	0	0	0
RNU6-1114P	chr6	16205014	16205120	+	107	0	0	0	0	0	0
GMPR	chr6	16238587	16295549	+	56963	14	26	16	20	16	14
ENSG00000282024	chr6	16259101	16264553	-	5453	0	0	0	0	0	0
ATXN1	chr6	16299112	16761491	-	462380	4273	2502	2680	3395	3304	522
ENSG00000288708	chr6	16328342	16328431	-	90	59	53	49	46	48	3
ATXN1-AS1	chr6	16761138	16763947	+	2810	191	152	119	177	123	33
ENSG00000289863	chr6	16762426	16762845	-	420	29	30	2	29	9	5
ENSG00000272341	chr6	16764346	16766883	+	2538	136	110	158	141	106	14
ENSG00000287347	chr6	16901104	16952699	-	51596	0	0	0	0	0	0
ENSG00000286631	chr6	17015817	17034396	+	18580	1	0	0	0	0	0
ENSG00000287359	chr6	17092714	17108156	-	15443	0	2	0	0	5	0
STMND1	chr6	17102050	17131378	+	29329	4	6	0	0	52	14
ENSG00000287559	chr6	17224243	17281424	-	57182	0	0	2	0	0	0
ENSG00000288812	chr6	17279587	17280869	-	1283	0	0	0	0	0	0
RBM24	chr6	17281361	17293871	+	12511	0	0	0	0	0	0
ENSG00000219314	chr6	17381367	17382120	+	754	0	0	0	0	0	0
CAP2	chr6	17393595	17557780	+	164186	22	22	36	54	30	2
RPL7P26	chr6	17530899	17531652	-	754	22	22	36	50	30	2
SUMO2P13	chr6	17582034	17582305	+	272	0	0	0	0	0	0
ENSG00000286885	chr6	17586899	17600262	-	13364	48	4	14	8	4	0
FAM8A1	chr6	17600302	17611719	+	11418	1284	320	884	803	256	46
NUP153	chr6	17615035	17706925	-	91891	8913	8708	5872	6144	7995	1752
RNU6-190P	chr6	17619533	17619634	+	102	0	2	0	0	0	0
NUP153-AS1	chr6	17706094	17707344	+	1251	312	530	129	273	331	54
RNA5SP204	chr6	17721786	17721903	-	118	0	0	0	0	0	0
KIF13A	chr6	17759183	17987635	-	228453	34	11	20	21	14	4
ENSG00000220920	chr6	17953572	17953930	+	359	0	0	0	0	0	0
NHLRC1	chr6	18120440	18122677	-	2238	34	44	18	34	24	0
TPMT	chr6	18128311	18155077	-	26767	718	614	378	324	496	108
KDM1B	chr6	18155329	18223854	+	68526	744	617	660	524	596	150
DEK	chr6	18223860	18264548	-	40689	8097	6369	4971	7020	8647	1434
ENSG00000289097	chr6	18277242	18278064	+	823	0	0	0	0	1	0
ENSG00000278102	chr6	18304854	18305045	-	192	0	0	0	0	0	0
RNU6-263P	chr6	18306973	18307079	-	107	0	0	0	0	0	0
DDX18P3	chr6	18363417	18365423	-	2007	0	0	0	0	6	0
IMPDH1P9	chr6	18366736	18368644	-	1909	0	0	0	0	0	0
RNF144B	chr6	18387350	18468870	+	81521	402	218	210	180	112	46
MIR548A1HG	chr6	18522735	18674001	+	151267	0	0	0	0	0	0
MIR548A1	chr6	18571784	18571880	+	97	0	0	0	0	0	0
ENSG00000217379	chr6	19143695	19144160	+	466	0	0	0	1	2	0
ENSG00000231662	chr6	19290319	19321021	-	30703	0	0	0	0	0	0
LNC-LBCS	chr6	19323428	19839080	-	515653	4	2	2	0	2	0
RPL5P20	chr6	19348181	19349076	+	896	0	0	0	0	0	0
RNA5SP205	chr6	19438283	19438418	+	136	0	0	0	0	0	0
KRT18P38	chr6	19612755	19614036	+	1282	0	0	0	0	0	0
UQCRFS1P3	chr6	19638040	19638808	-	769	0	0	0	0	0	0
RNU6-801P	chr6	19642425	19642529	-	105	0	0	0	0	0	0
ID4	chr6	19837370	19842197	+	4828	0	0	0	0	0	0
